,Path,Length,Artist,Full_Path
0,Bach/Bwv0997 Partita for Lute 1mov.mid,180.375,Bach,raw_data_unzipped/Bach/Bwv0997 Partita for Lute 1mov.mid
1,Bach/Bwv0535 Prelude and Fugue.mid,477.99620799999997,Bach,raw_data_unzipped/Bach/Bwv0535 Prelude and Fugue.mid
2,Bach/Bwv0806 English Suite n1 05mov.mid,144.29999999999995,Bach,raw_data_unzipped/Bach/Bwv0806 English Suite n1 05mov.mid
3,Bach/Bwv0998 Prelude Fugue Allegro for Lute 3mov.mid,1068.75,Bach,raw_data_unzipped/Bach/Bwv0998 Prelude Fugue Allegro for Lute 3mov.mid
4,Bach/Jesu Joy of Man Desiring.mid,209.833333,Bach,raw_data_unzipped/Bach/Jesu Joy of Man Desiring.mid
5,Bach/Prelude and Fugue in C Sharp BWV 872.mid,194.88333333333327,Bach,raw_data_unzipped/Bach/Prelude and Fugue in C Sharp BWV 872.mid
6,Bach/Bwv0582 Passacaglia and Fugue.mid,727.74950590625,Bach,raw_data_unzipped/Bach/Bwv0582 Passacaglia and Fugue.mid
7,Bach/Bwv0527 Sonate en trio n3.mid,871.5258826812501,Bach,raw_data_unzipped/Bach/Bwv0527 Sonate en trio n3.mid
8,Bach/Bwv0806 English Suite n1 03mov .mid,120.34999999999987,Bach,raw_data_unzipped/Bach/Bwv0806 English Suite n1 03mov .mid
9,Bach/Bwv0560 Short Prelude and Fugue n8 (Spurious).mid,279.27142000000003,Bach,raw_data_unzipped/Bach/Bwv0560 Short Prelude and Fugue n8 (Spurious).mid
10,Bach/Bwv0811 English Suite n6 2mov.mid,157.40470125000002,Bach,raw_data_unzipped/Bach/Bwv0811 English Suite n6 2mov.mid
11,Bach/Bwv1005 Violin Sonata n3 3mov Largo.mid,42.00000000000001,Bach,raw_data_unzipped/Bach/Bwv1005 Violin Sonata n3 3mov Largo.mid
12,Bach/Bwv0911 Toccata.mid,376.9205729166677,Bach,raw_data_unzipped/Bach/Bwv0911 Toccata.mid
13,Bach/Bwv0559 Short Prelude and Fugue n7 (Spurious).mid,260.772725,Bach,raw_data_unzipped/Bach/Bwv0559 Short Prelude and Fugue n7 (Spurious).mid
14,Bach/Bwv0556 Short Prelude and Fugue n4 (Spurious).mid,212.31555,Bach,raw_data_unzipped/Bach/Bwv0556 Short Prelude and Fugue n4 (Spurious).mid
15,Bach/Bwv1014 Harpsicord and Violin Sonata 2mov.mid,284.4166666666667,Bach,raw_data_unzipped/Bach/Bwv1014 Harpsicord and Violin Sonata 2mov.mid
16,Bach/Bwv0914 Toccata.mid,465.87578799999994,Bach,raw_data_unzipped/Bach/Bwv0914 Toccata.mid
17,Bach/Bwv1005 Violin Sonata n3 2mov Fugue.mid,829.215476,Bach,raw_data_unzipped/Bach/Bwv1005 Violin Sonata n3 2mov Fugue.mid
18,Bach/Bwv0933 Little Prelude n1.mid,65.454528,Bach,raw_data_unzipped/Bach/Bwv0933 Little Prelude n1.mid
19,Bach/Bwv0996 Suite for Lute.mid,803.0884856395834,Bach,raw_data_unzipped/Bach/Bwv0996 Suite for Lute.mid
20,Bach/Prelude and Fugue in D.mid,163.6062499999981,Bach,raw_data_unzipped/Bach/Prelude and Fugue in D.mid
